name,description,recommendation,zero_value_after_norm,nonzero_min,nonzero_max,nonzero_mean,nonzero_std,pct_nonzero_saturated,inverse_max_abs_err,inverse_p95_abs_err,inverse_mean_abs_err,distinguishes_small_counts,well_separated_small_counts,small_count_norm_min_gap,norm_count_1,norm_count_2,norm_count_5,norm_count_10,norm_count_20
A_current_global_clip3,"log1p + global std (mu=0.0010, sigma=0.0279), clip=3",rejected_undistinguishable,-0.012419110091932644,1.0,1.0,1.0,0.0,1.0,9.911667980925065,0.0,0.0014288912708407537,False,False,0.0,1.0,1.0,1.0,1.0,1.0
B_global_clip30,"log1p + global std (mu=0.0010, sigma=0.0279), clip=30",rejected_undistinguishable,-0.0012419110091932645,0.8278028666975678,1.0,0.8406144908399265,0.04518835289205896,0.07440091421183859,8.690300014049997,0.0,9.429559650460909e-05,False,False,0.0,0.8278028666975678,1.0,1.0,1.0,1.0
C_global_clip100,"log1p + global std (mu=0.0010, sigma=0.0279), clip=100",primary,-0.0003725733027579793,0.24834086000927033,0.8600345418767117,0.26056635920323007,0.045222010510382216,0.0,1.7763568394002505e-15,0.0,4.319436981544349e-20,True,True,0.1399654581232883,0.24834086000927033,0.3938288919224189,0.6425423252344471,0.8600345418767117,1.0
D_nonzero_global_clip3,"log1p + NONZERO-only std (mu_nz=0.7272, sigma_nz=0.1260), clip=3, zero->-1.0",rejected_undistinguishable,-1.0,-0.09011466655271085,1.0,-0.010136243467382285,0.2820999797975144,0.010781235571151538,7.9798373907914035,0.0,2.0653984596455396e-05,False,False,0.0,-0.09011466655271085,0.9822837096004148,1.0,1.0,1.0
E_log1p_minmax_p999_nonzero,"log1p + linear scale to [-1,1], vmax=1.6094 (p99.9 of nonzero log1p (train))",rejected_undistinguishable,-1.0,-0.1386468838532139,1.0,-0.0965544747990046,0.1545306498834409,0.002706851971557854,6.0,0.0,1.7058265100273362e-06,False,False,0.0,-0.1386468838532139,0.3652123889719707,1.0,1.0,1.0
