source_name,source_type,candidate_path,acceptance_tier,nonzero_ratio_x_real_test,total_mass_ratio,total_mass_ratio_scale,row_sum_ks_stat,col_sum_ks_stat,ks_scale,top20_pair_overlap,top20_pair_overlap_against_top50,gen_max,gen_mean,entropy,has_candidate_npy,can_freeze_to_stage5,notes
bootstrap_day_block,bootstrap,data/synthetic/od_samples_agg_bootstrap.npy,MILD,2.676976,1.125639,per_day_equiv,0.093131,0.077683,per_day_equiv,11.890625,19.828125,1152.593750,1.662250,9.852160,True,True,PR5C-2B: 11-day day-block bootstrap over the real 12 km train slots; used_slots subset of train_slots verified; diagonal excluded by Stage-3 invariant.
diffusion_raw_zpin_weighted_pilot,diffusion_uncalibrated,,MILD,5.831369,0.818871,per_day_equiv (raw mass_ratio=4.094 rescaled by 1/5; no calibration applied),0.961124,0.965802,"raw (NOT per-day-normalized; samples at 1-slot scale, row_sums summed across 48 samples)",0.000000,0.000000,42.750000,0.549655,11.396117,False,False,PR5C-1B before-calibration baseline (clip+round only on continuous samples); no tau/scale applied; included as a reference for what posthoc calibration buys.
diffusion_calibrated_zpin_weighted_pilot,diffusion_posthoc_calibrated,data/synthetic/od_samples_agg_diffusion_calibrated.npy,MILD,2.829068,1.077626,per_day_equiv (raw mass_ratio=5.388 rescaled by 1/5; calibrator targeted train sum),0.971108,0.969458,raw (NOT per-day-normalized; cal samples at 5-day-train scale vs 1-day test),0.000000,0.000000,85.583333,0.723340,10.677191,False,False,"PR5C-1B: posthoc tau=1.0000, scale=2 fit on real_train_agg only; ckpt step=1000 val_loss=0.0601; top20=0 = no spatial structure recovered; no candidate npy written by PR5C-1B (deliberate)."
diffusion_failed_baseline_pr5b_3b3,diffusion_failed_baseline,,FAIL,143.000000,181.000000,raw vs real_test_per_day (record from PR5B-3b-3 decisions.md),1.000000,1.000000,raw (in-loop diag at pilot end-of-run),0.000000,0.000000,nan,nan,nan,False,False,"Floor baseline: PR5B-3b-3 zpin+weighted pilot in-loop diag, n=4, gs=1.0. Any candidate that does not strictly beat all four axes here is FAIL by definition."
