method,mean_coverage,std_coverage,min_coverage,p05_coverage,cvar0.3_coverage,max_coverage,unique_selected_sequences,first_selected_candidates,runtime_s
greedy_oracle,0.4322613282112788,0.005372020619647735,0.4167080661909097,0.4189410775794982,0.4263146783738768,0.4394225721784777,6,"[155, 448, 256, 250, 307, 38, 75, 557, 405, 174]",1.389
greedy_blind_mean,0.43440231768276033,0.002741328068465369,0.4280894775150702,0.43002927535798524,0.43122444035972396,0.44000177060542056,1,"[155, 448, 256, 250, 307, 38, 75, 557, 405, 174]",0.11
greedy_robust_cvar_simple,0.43440231768276033,0.002741328068465369,0.4280894775150702,0.43002927535798524,0.43122444035972396,0.44000177060542056,1,"[155, 448, 256, 250, 307, 38, 75, 557, 405, 174]",0.913
