min_dist_km,min_duration_min,eligible_trip_count,eligible_share_of_zone_assigned,eligible_share_of_in_window,nonzero_od_pairs,top_od_pair_share,od_entropy,normalized_od_entropy
10.0,25.0,365376,0.10044300639562134,0.09020513758668372,66045,0.0020143632860395865,10.007197359381788,0.9017043392575651
12.0,25.0,290160,0.07976589249363256,0.071635582857528,60055,0.00250206782464847,9.963386046527123,0.9055140851246799
15.0,25.0,188699,0.05187394591830704,0.04658658274618374,50043,0.00214097583982957,9.91981587490946,0.9167496364813433
18.0,25.0,122157,0.033581341774692144,0.03015849150512492,40182,0.0020056157240272766,9.777610086611496,0.922313859348832
20.0,25.0,89684,0.024654412401430046,0.022141458550436106,34116,0.002152000356808349,9.706224284230721,0.9299357171249188
