scenario_idx,raw_total,per_day_total_mass,nz_ratio,gen_max,gen_mean,per_day_row_ks,per_day_col_ks,raw_row_ks,raw_col_ks,top20_overlap,top20_vs_top50,entropy,total_mass_ratio_raw,per_day_total_mass_ratio
14,462399.0,42036.27272727273,0.16409754360982556,1204,1.6461338554645781,0.08867924528301885,0.0641509433962264,0.8018867924528302,0.809433962264151,13,20,9.780203640055449,12.261972951471758,1.1147248137701598
15,461140.0,41921.818181818184,0.18334282662869347,1109,1.6416518333926664,0.09056603773584904,0.08301886792452834,0.8037735849056604,0.8207547169811321,11,20,9.877244721460086,12.228586581808539,1.1116896892553219
16,464083.0,42189.36363636364,0.16409754360982556,1168,1.6521288714845141,0.08679245283018866,0.07169811320754721,0.8037735849056604,0.8150943396226416,12,20,9.8415344641047,12.306629541235747,1.1187845037487043
17,465459.0,42314.454545454544,0.1646742613029548,1090,1.6570274118903525,0.09245283018867922,0.08490566037735847,0.8056603773584906,0.8245283018867925,12,20,9.83388322051924,12.343118536197295,1.122101685108845
18,473579.0,43052.63636363636,0.16428978284086865,1162,1.6859344962620149,0.09811320754716979,0.07735849056603777,0.8056603773584906,0.8264150943396227,11,20,9.847896301575322,12.558446035534342,1.1416769123213037
19,462875.0,42079.545454545456,0.18334282662869347,1158,1.6478284086863653,0.09433962264150941,0.07924528301886796,0.8037735849056604,0.8169811320754717,13,20,9.887050289160385,12.27459559798462,1.1158723270895108
20,463225.0,42111.36363636364,0.18334282662869347,1136,1.6490744037023852,0.09056603773584904,0.06981132075471697,0.8037735849056604,0.8188679245283019,12,20,9.882670261958117,12.283876955714664,1.1167160868831514
21,462072.0,42006.545454545456,0.18334282662869347,1177,1.6449697401210395,0.09433962264150941,0.07547169811320753,0.8,0.8132075471698114,13,20,9.872299180904847,12.253301511535401,1.1139365010486728
22,454985.0,41362.27272727273,0.13967960128159487,1126,1.619740121039516,0.08490566037735847,0.07735849056603777,0.8037735849056604,0.8188679245283019,11,20,9.776116285739178,12.06536727658446,1.0968515705985873
23,461140.0,41921.818181818184,0.18334282662869347,1109,1.6416518333926664,0.09056603773584904,0.08301886792452834,0.8037735849056604,0.8207547169811321,11,20,9.877244721460086,12.228586581808539,1.1116896892553219
24,466819.0,42438.09090909091,0.18334282662869347,1138,1.66186899252403,0.09433962264150941,0.07169811320754721,0.8056603773584906,0.8226415094339623,12,20,9.87855507393426,12.379183240519756,1.1253802945927052
25,462422.0,42038.36363636364,0.18334282662869347,1155,1.6462157351370594,0.09245283018867922,0.0660377358490566,0.8,0.8150943396226416,13,20,9.852693796717386,12.262582869265447,1.1147802608423134
26,471368.0,42851.63636363636,0.16456746173015308,1159,1.678063367746529,0.09433962264150941,0.06981132075471702,0.8075471698113208,0.8207547169811321,11,18,9.812550388444684,12.4998143728454,1.1363467611677636
27,466842.0,42440.181818181816,0.16456746173015308,1089,1.6619508721965113,0.0962264150943396,0.07735849056603777,0.8037735849056604,0.8245283018867925,12,20,9.85603442698902,12.379793158313445,1.1254357416648586
28,463503.0,42136.63636363636,0.1646742613029548,1150,1.650064079743681,0.08867924528301885,0.07547169811320759,0.8037735849056604,0.8207547169811321,13,20,9.8323393603484,12.291249005568815,1.1173862732335285
29,466492.0,42408.36363636364,0.18334282662869347,1111,1.6607048771804913,0.0886792452830189,0.08301886792452834,0.8075471698113208,0.8245283018867925,12,20,9.894000404498975,12.3705118005834,1.1245919818712182
30,477173.0,43379.36363636364,0.16428978284086865,1164,1.6987290850836596,0.09622641509433966,0.08679245283018872,0.8075471698113208,0.8245283018867925,11,20,9.823478097846076,12.653752320339432,1.1503411200308575
31,469283.0,42662.09090909091,0.18334282662869347,1132,1.6706407974368103,0.09245283018867922,0.08490566037735853,0.8113207547169812,0.8226415094339623,12,20,9.885655950191818,12.444523998939273,1.131320363539934
32,477076.0,43370.545454545456,0.18334282662869347,1196,1.6983837664649342,0.09433962264150941,0.0886792452830189,0.8132075471698114,0.8226415094339623,12,20,9.842856492012514,12.651180058339962,1.1501072780309058
33,464028.0,42184.36363636364,0.18334282662869347,1117,1.651933072267711,0.09245283018867922,0.07547169811320753,0.8018867924528302,0.8207547169811321,12,20,9.894053554929682,12.305171042163883,1.1186519129239894
34,469911.0,42719.181818181816,0.1646742613029548,1124,1.672876468494126,0.09245283018867922,0.08679245283018872,0.8113207547169812,0.8226415094339623,12,20,9.858852848144622,12.461177406523468,1.1328343096839517
35,467350.0,42486.36363636364,0.18334282662869347,1143,1.6637593449626202,0.09245283018867922,0.0792452830188679,0.809433962264151,0.8245283018867925,11,20,9.866909216864826,12.393264386104482,1.1266603987367712
36,467622.0,42511.09090909091,0.18334282662869347,1119,1.6647276610893555,0.09056603773584904,0.07547169811320753,0.8075471698113208,0.8207547169811321,12,20,9.889887635150975,12.400477326968973,1.1273161206335431
37,462999.0,42090.818181818184,0.1646742613029548,1086,1.6482698469206123,0.1,0.09056603773584909,0.8113207547169812,0.8283018867924529,10,20,9.80209966382338,12.277883850437549,1.1161712591306865
38,469260.0,42660.0,0.18334282662869347,1181,1.670558917764329,0.09433962264150941,0.07924528301886796,0.8056603773584906,0.8188679245283019,12,20,9.882433045279575,12.443914081145584,1.1312649164677804
39,463931.0,42175.545454545456,0.18334282662869347,1130,1.6515877536489854,0.09245283018867922,0.07924528301886796,0.8075471698113208,0.8226415094339623,12,20,9.880705038569323,12.302598780164413,1.1184180709240374
40,471996.0,42908.72727272727,0.18334282662869347,1151,1.6802990388038448,0.09245283018867928,0.07924528301886796,0.8037735849056604,0.8226415094339623,11,19,9.874605337548827,12.516467780429593,1.1378607073117812
41,463128.0,42102.545454545456,0.16409754360982556,1149,1.6487290850836596,0.09245283018867922,0.07735849056603777,0.8018867924528302,0.8188679245283019,12,20,9.843172816656693,12.281304693715194,1.1164822448831995
42,467502.0,42500.181818181816,0.16409754360982556,1181,1.6643004627981488,0.09056603773584904,0.07547169811320759,0.8056603773584906,0.8150943396226416,12,20,9.847148979074477,12.397295147175816,1.1270268315614378
43,466294.0,42390.36363636364,0.18334282662869347,1171,1.66,0.09245283018867922,0.07547169811320753,0.8056603773584906,0.8207547169811321,13,20,9.885101417482579,12.365261203924689,1.1241146549022445
44,469007.0,42637.0,0.16428978284086865,1190,1.6696582413670344,0.09433962264150941,0.07547169811320753,0.8037735849056604,0.8226415094339623,13,20,9.851119965766895,12.43720498541501,1.1306549986740917
45,470238.0,42748.90909090909,0.18334282662869347,1151,1.6740405838376646,0.0962264150943396,0.07924528301886796,0.809433962264151,0.8188679245283019,12,20,9.88392822358418,12.469848846459826,1.1336226224054387
46,478834.0,43530.36363636364,0.18334282662869347,1178,1.7046422214311143,0.09811320754716985,0.09056603773584909,0.8113207547169812,0.8226415094339623,11,20,9.83379214079764,12.697798992309732,1.1543453629372484
47,465887.0,42353.36363636364,0.16456746173015308,1070,1.658551085795657,0.09622641509433966,0.08113207547169815,0.809433962264151,0.8245283018867925,12,20,9.848915864673492,12.354468310792893,1.123133482799354
48,464281.0,42207.36363636364,0.16456746173015308,1108,1.6528337486650053,0.09245283018867922,0.08113207547169815,0.8037735849056604,0.8207547169811321,11,20,9.822505601901508,12.311880137894457,1.119261830717678
49,458754.0,41704.90909090909,0.16409754360982556,1117,1.6331577073691705,0.08867924528301885,0.07735849056603777,0.8037735849056604,0.8188679245283019,11,20,9.818831127911096,12.165314240254574,1.1059376582049611
50,478811.0,43528.27272727273,0.16428978284086865,1226,1.704560341758633,0.10377358490566041,0.07924528301886796,0.8075471698113208,0.8264150943396227,11,19,9.818894138634628,12.697189074516043,1.1542899158650948
51,467622.0,42511.09090909091,0.18334282662869347,1119,1.6647276610893555,0.09056603773584904,0.07547169811320753,0.8075471698113208,0.8207547169811321,12,20,9.889887635150975,12.400477326968973,1.1273161206335431
52,467548.0,42504.36363636364,0.16456746173015308,1097,1.6644642221431114,0.09811320754716985,0.08490566037735853,0.8132075471698114,0.8245283018867925,10,20,9.818098563255438,12.398514982763192,1.1271377257057449
53,479692.0,43608.36363636364,0.18334282662869347,1257,1.7076966892132432,0.0962264150943396,0.08490566037735853,0.8132075471698114,0.8226415094339623,11,19,9.802836090304272,12.720551577830815,1.1564137798028014
54,466096.0,42372.36363636364,0.18334282662869347,1231,1.6592951228195087,0.08867924528301888,0.07169811320754721,0.8018867924528302,0.8188679245283019,12,19,9.823727562568067,12.360010607265977,1.1236373279332708
55,471798.0,42890.72727272727,0.16428978284086865,1211,1.6795941616233534,0.09811320754716979,0.07735849056603777,0.7981132075471699,0.8188679245283019,12,20,9.851164449612371,12.511217183770883,1.1373833803428075
56,460632.0,41875.63636363636,0.16278390886436453,1055,1.6398433606265574,0.09056603773584904,0.0735849056603774,0.8056603773584906,0.8226415094339623,12,19,9.841694454540221,12.215115354017502,1.110465032183409
57,463973.0,42179.36363636364,0.16278390886436453,1066,1.651737273050908,0.09056603773584904,0.07547169811320753,0.8075471698113208,0.8226415094339623,12,19,9.809102426745614,12.303712543092018,1.1185193220992744
58,474414.0,43128.545454545456,0.16428978284086865,1243,1.6889070843716625,0.09622641509433966,0.07169811320754715,0.8018867924528302,0.8188679245283019,11,19,9.824140958064875,12.580588703261734,1.1436898821147032
59,467424.0,42493.09090909091,0.18334282662869347,1179,1.6640227839088644,0.09433962264150941,0.07735849056603777,0.8,0.8188679245283019,13,20,9.889129886927046,12.395226730310263,1.1268387936645694
60,468305.0,42573.181818181816,0.18334282662869347,1162,1.6671591313634746,0.09433962264150941,0.08113207547169815,0.8075471698113208,0.8169811320754717,12,20,9.884324520846393,12.418589233625033,1.1289626576022758
61,460139.0,41830.818181818184,0.16409754360982556,1188,1.6380882876468494,0.09245283018867922,0.06981132075471697,0.8018867924528302,0.8132075471698114,13,20,9.822035628053927,12.20204189870061,1.1092765362455101
62,476250.0,43295.454545454544,0.16409754360982556,1245,1.695443218227127,0.09433962264150947,0.07547169811320753,0.809433962264151,0.8188679245283019,11,19,9.800805484032733,12.629276054097057,1.1481160049179142
63,459557.0,41777.90909090909,0.18334282662869347,1098,1.6360163759344963,0.09056603773584904,0.08490566037735853,0.8056603773584906,0.8245283018867925,10,20,9.85732991470338,12.186608326703793,1.1078734842457991
